method	epoch	precision	recall	ndcg
LLA	0	0.00020709000000000002	0.0005973866666666666	0.00041232666666666666
LLA	10	0.038624490000000004	0.12583280666666669	0.10715581333333334
LLA	20	0.037997076666666664	0.12300438333333334	0.10327899333333333
LLA	30	0.03688458666666666	0.11822027000000002	0.09867847
LLA	40	0.0359697	0.11409522	0.09490484333333334
LLA	50	0.035100589999999994	0.11047373333333332	0.09112405666666668
LLA	60	0.034496056666666663	0.10771951	0.08858029666666667
LLA	70	0.034015449999999996	0.10554228333333333	0.08687051666666668
LLA	80	0.03368332333333333	0.10430794333333333	0.08540463
LLA	90	0.033456693333333336	0.10334358	0.08451797333333333
LLA	100	0.03315303666666667	0.10230509333333333	0.08323954
LLA	110	0.03300678333333334	0.10168350999999999	0.08276063333333333
LLA	120	0.032873936666666666	0.10156623000000002	0.08222822
LLA	130	0.03271596666666667	0.10090824333333333	0.08166720333333334
LLA	140	0.03254404	0.10034238333333334	0.08124875
LLA	150	0.03259037333333333	0.10055100666666666	0.08119362333333334
LLA	160	0.03253901666666666	0.10048129666666666	0.08109241666666667
LLA	170	0.032470360000000004	0.10037598666666668	0.08096892333333335
LLA	180	0.03254794666666667	0.10033899666666667	0.08098469
LLA	190	0.03240337333333333	0.10033285333333335	0.0806716
LLA	200	0.03248375666666667	0.10065309333333333	0.08094975666666666
LLA	210	0.032535669999999996	0.10095167	0.08128142
LLA	220	0.032511663333333336	0.10089322	0.08120148666666667
LLA	230	0.03260097666666667	0.10127987666666667	0.08152529000000001
LLA	240	0.03265568333333334	0.10168172333333332	0.08162870000000001
LLA	250	0.03270982333333333	0.10196411999999999	0.08168107000000001
LLA	260	0.032636146666666664	0.10187924	0.08146864999999999
LLA	270	0.03277346	0.10247352333333333	0.08186445666666668
LLA	280	0.032925289999999996	0.10286459333333335	0.08219817
LLA	290	0.03291971	0.10300798	0.08238503666666666
mean	0	0.00018755	0.00053749	0.00040836
mean	10	0.04331586	0.14078862	0.1185364
mean	20	0.045142845	0.14737097999999998	0.12315825999999999
mean	30	0.045759095	0.14917238	0.124497055
mean	40	0.045610055	0.14826456500000001	0.12388974
mean	50	0.04545934	0.147083145	0.12307009499999999
mean	60	0.04537226	0.146768685	0.12287777999999999
mean	70	0.04528016	0.146071645	0.122310385
mean	80	0.04545432	0.14653421500000002	0.12252210499999999
mean	90	0.045432545	0.14658844999999998	0.12242984
mean	100	0.045528835000000004	0.14663286	0.12247078
mean	110	0.04563015	0.14708111499999998	0.12281004
mean	120	0.04562931	0.146938985	0.12282243999999999
mean	130	0.045744025	0.14711897499999999	0.12309022
mean	140	0.045914830000000004	0.14772501999999998	0.123572815
mean	150	0.045910645	0.14776509999999998	0.123670115
mean	160	0.04599437000000001	0.14827201499999998	0.124086245
mean	170	0.046058005	0.14839396	0.12429125999999999
mean	180	0.04610992	0.14847064	0.124359575
mean	190	0.04620286	0.14864587	0.12469913999999999
mean	200	0.046285755	0.149022335	0.12483336
mean	210	0.046394599999999994	0.149485595	0.12507983
mean	220	0.046402975	0.1492809	0.12525393
mean	230	0.046516009999999997	0.14962569	0.125555475
mean	240	0.04642893	0.14952354	0.125353445
mean	250	0.04647833	0.14937544	0.12533226
mean	260	0.04664579	0.14998804999999998	0.125717055
mean	270	0.04677892	0.15030874500000002	0.12592521
mean	280	0.046791479999999996	0.150389765	0.12607848
mean	290	0.046701889999999996	0.15015066	0.126070095
