epoch	precision	recall	ndcg
0	0.00020709000000000002	0.0005973866666666666	0.00041232666666666666
10	0.038624490000000004	0.12583280666666669	0.10715581333333334
20	0.037997076666666664	0.12300438333333334	0.10327899333333333
30	0.03688458666666666	0.11822027000000002	0.09867847
40	0.0359697	0.11409522	0.09490484333333334
50	0.035100589999999994	0.11047373333333332	0.09112405666666668
60	0.034496056666666663	0.10771951	0.08858029666666667
70	0.034015449999999996	0.10554228333333333	0.08687051666666668
80	0.03368332333333333	0.10430794333333333	0.08540463
90	0.033456693333333336	0.10334358	0.08451797333333333
100	0.03315303666666667	0.10230509333333333	0.08323954
110	0.03300678333333334	0.10168350999999999	0.08276063333333333
120	0.032873936666666666	0.10156623000000002	0.08222822
130	0.03271596666666667	0.10090824333333333	0.08166720333333334
140	0.03254404	0.10034238333333334	0.08124875
150	0.03259037333333333	0.10055100666666666	0.08119362333333334
160	0.03253901666666666	0.10048129666666666	0.08109241666666667
170	0.032470360000000004	0.10037598666666668	0.08096892333333335
180	0.03254794666666667	0.10033899666666667	0.08098469
190	0.03240337333333333	0.10033285333333335	0.0806716
200	0.03248375666666667	0.10065309333333333	0.08094975666666666
210	0.032535669999999996	0.10095167	0.08128142
220	0.032511663333333336	0.10089322	0.08120148666666667
230	0.03260097666666667	0.10127987666666667	0.08152529000000001
240	0.03265568333333334	0.10168172333333332	0.08162870000000001
250	0.03270982333333333	0.10196411999999999	0.08168107000000001
260	0.032636146666666664	0.10187924	0.08146864999999999
270	0.03277346	0.10247352333333333	0.08186445666666668
280	0.032925289999999996	0.10286459333333335	0.08219817
290	0.03291971	0.10300798	0.08238503666666666
