epoch	precision	recall	ndcg
0	1.4621862626446287e-05	4.394522373237949e-05	1.1603589482952625e-05
10	0.0001561569296146248	0.0005482313863283969	0.000555287224436348
20	0.00017320229200433603	0.0004091860321282869	0.00020397736546544254
30	0.00010452389211191155	0.0001985132873806329	0.00045148550416006483
40	0.00019070332980836982	0.0007638193498465432	0.0007925642066664921
50	0.00019900721544707998	0.0008540209211462896	0.0009674709684647999
60	0.00013936451301851995	0.0007628912191568776	0.0009406571278396564
70	0.0002662357666931064	0.001194817382987415	0.001045631997161949
80	0.000197355884353341	0.0010368277938768628	0.0008287493697131837
90	0.00010751197152978957	0.0005479980423930993	0.0006468143644216829
100	0.0002222694719379047	0.0008261444032102061	0.0006453826815153935
110	0.00011779695789318678	0.0003254945889975223	0.0003540352012943889
120	0.0002157196435705887	0.0006013706839102367	0.000628022303637905
130	0.00027271088235630446	0.0006387642745871784	0.0005859798640643611
140	0.0002631081429121251	0.0008446556619251553	0.0007826005534115049
150	0.0001865733429214581	0.0005077277975669847	0.0005396223929955254
160	0.00015762793689219287	0.000578724246040856	0.0005948207766676884
170	7.361537113040072e-05	0.0004392191662737672	0.0006821066568767361
180	0.00014467718556228031	0.0005525554567844028	0.0005387040030171209
190	0.00014725510389192558	0.0004552720438985443	0.0003549830472008462
200	0.00013760543820003085	0.0003576784397875924	0.0005198348745728998
210	0.00024891243319689687	0.000917074020676627	0.0007633969126214774
220	0.0001165351819075351	0.000633741250879783	0.0006224466716827113
230	9.236872642957733e-05	0.0007766234971264306	0.0006704735515042072
240	0.00014147122353640992	0.0007457993235150828	0.00048419888248528334
250	0.00021369868964398402	0.0007334335804056607	0.0005450679341757906
260	0.00015701895370375527	0.00040194834502292484	0.00012532178528359316
270	0.00022876783966866302	0.0005931013620696622	0.00039829199944540887
280	0.00015662150107823591	0.0004879294409600203	0.0001502851970976111
290	0.00026076324242500163	0.0007213508506961104	0.00037706728279653025
