epoch	precision	recall	ndcg
0	0.00018755	0.00053749	0.00040836
10	0.04331586	0.14078862	0.1185364
20	0.045142845	0.14737097999999998	0.12315825999999999
30	0.045759095	0.14917238	0.124497055
40	0.045610055	0.14826456500000001	0.12388974
50	0.04545934	0.147083145	0.12307009499999999
60	0.04537226	0.146768685	0.12287777999999999
70	0.04528016	0.146071645	0.122310385
80	0.04545432	0.14653421500000002	0.12252210499999999
90	0.045432545	0.14658844999999998	0.12242984
100	0.045528835000000004	0.14663286	0.12247078
110	0.04563015	0.14708111499999998	0.12281004
120	0.04562931	0.146938985	0.12282243999999999
130	0.045744025	0.14711897499999999	0.12309022
140	0.045914830000000004	0.14772501999999998	0.123572815
150	0.045910645	0.14776509999999998	0.123670115
160	0.04599437000000001	0.14827201499999998	0.124086245
170	0.046058005	0.14839396	0.12429125999999999
180	0.04610992	0.14847064	0.124359575
190	0.04620286	0.14864587	0.12469913999999999
200	0.046285755	0.149022335	0.12483336
210	0.046394599999999994	0.149485595	0.12507983
220	0.046402975	0.1492809	0.12525393
230	0.046516009999999997	0.14962569	0.125555475
240	0.04642893	0.14952354	0.125353445
250	0.04647833	0.14937544	0.12533226
260	0.04664579	0.14998804999999998	0.125717055
270	0.04677892	0.15030874500000002	0.12592521
280	0.046791479999999996	0.150389765	0.12607848
290	0.046701889999999996	0.15015066	0.126070095
