epoch	precision	recall	ndcg
0	0.0	0.0	0.0
10	0.006645620000000001	0.020648689999999997	0.01798508
20	0.005468384999999999	0.01603713999999999	0.014327899999999998
30	0.003780394999999999	0.009965619999999994	0.009121974999999997
40	0.002122545	0.0038976349999999965	0.003787189999999996
50	0.0007058399999999992	0.0016046949999999893	0.0008105950000000042
60	0.0004647000000000019	0.0059592249999999986	0.004879889999999998
70	0.0013840499999999978	0.00931464500000001	0.007777365000000001
80	0.002189530000000002	0.012285484999999999	0.010380775000000002
90	0.002881135	0.014701740000000005	0.012403769999999995
100	0.0035233450000000006	0.01677613	0.01445474
110	0.0039964200000000005	0.018466214999999994	0.01588384999999999
120	0.004392460000000001	0.019524925	0.017154509999999998
130	0.004798545000000001	0.02085756500000001	0.018250500000000003
140	0.005083229999999998	0.02170251999999999	0.018992864999999998
150	0.005363725	0.022650669999999998	0.019931835000000002
160	0.00559314	0.023206985	0.020525324999999997
170	0.005722085000000002	0.023590700000000006	0.02086234
180	0.005891219999999999	0.02399453	0.021392844999999994
190	0.006106400000000001	0.024527530000000006	0.021993859999999997
200	0.006306515000000002	0.025244245000000005	0.022482750000000003
210	0.006361780000000001	0.025364815000000006	0.022551929999999998
220	0.006440484999999999	0.02555287	0.022909920000000007
230	0.006603759999999997	0.02605731	0.023090665000000003
240	0.006613809999999998	0.025891509999999993	0.023109754999999996
250	0.006711769999999999	0.026094530000000005	0.02333392
260	0.006785449999999998	0.026247659999999992	0.023573614999999992
270	0.006876719999999999	0.026546045000000004	0.02381238
280	0.006962960000000001	0.026809485	0.023939299999999997
290	0.006940350000000001	0.026565820000000004	0.023988964999999994
